Day,Hours in Use,Date,Name,Organizer,Room,Start,End
Tuesday,"[17, 18]",4/26/2016,Designing Your Career Path with Creative Problem Solving,Faculty,A,5:00:00 PM,7:00:00 PM
Tuesday,"[19, 20]",4/26/2016,Global Studies Mixer,Faculty,A,7:15:00 PM,9:15:00 PM
Tuesday,"[9, 10]",4/26/2016,Introduction to Health Research Methods,Student,A,9:30:00 AM,10:45:00 AM
Tuesday,"[15, 16]",4/26/2016,UVA Food Collaborative Student Research Symposium,Faculty,B,3:00:00 PM,5:00:00 PM
Wednesday,"[17, 18]",4/27/2016,Designing Your Career Path with Creative Problem Solving,Faculty,B,5:00:00 PM,7:00:00 PM
Wednesday,"[12, 13]",4/27/2016,Healing from Divorce,Staff,B,12:00:00 PM,1:15:00 PM
Wednesday,"[19, 20, 21]",4/27/2016,Latino Student Alliance Dinner,Student,A,7:30:00 PM,10:00:00 PM
Wednesday,"[19, 20, 21]",4/27/2016,Latino Student Alliance Dinner,Student,B,7:30:00 PM,10:00:00 PM
Wednesday,"[13, 14]",4/27/2016,Lloyd's Building Project Meeting,Student,A,1:00:00 PM,3:00:00 PM
Wednesday,"[16, 17, 18]",4/27/2016,Student Arts Fellows,Student,A,4:00:00 PM,7:00:00 PM
Wednesday,"[13, 14, 15]",4/27/2016,Survivor Support Network,Staff,B,1:30:00 PM,4:30:00 PM
Thursday,"[15, 16, 17]",4/28/2016,Foods of all Nations,Student,A,3:30:00 PM,6:00:00 PM
Thursday,"[20, 21]",4/28/2016,"Religion, Politics, Conflict Initiative",Student,B,8:00:00 PM,10:00:00 PM
Thursday,"[17, 18]",4/28/2016,Sustained Dialogue,Student,B,5:00:00 PM,6:30:00 PM
Friday,"[20, 21]",4/29/2016,Hip Hop Art Show,Staff,A,8:00:00 PM,10:00:00 PM
Friday,"[20, 21]",4/29/2016,Hip Hop Art Show,Student,B,8:00:00 PM,10:00:00 PM
Friday,"[17, 18]",4/29/2016,The Fit City Interns Meeting,Student,B,5:15:00 PM,7:15:00 PM
