Description,IncidentNum,Location,Agency,Date
FRAUD-FRAUD BY IMPERSONATION,201710949,1500 BLOCK UNIVERSITY AVE,Charlottesville Police,3-31-2017 3:30 AM
LARCENY-ALL OTHER LARCENY,201710836,300 BLOCK 15TH ST NW,Charlottesville Police,3-30-2017 12:55 PM
LARCENY-ALL OTHER LARCENY,201710838,1000 BLOCK CHERRY AVE,Charlottesville Police,3-30-2017 12:55 PM
DRUG/NARCOTIC VIOLATION,201710710,1000 BLOCK W MAIN ST,Charlottesville Police,3-29-2017 9:20 PM
LARCENY-ALL OTHER LARCENY,201710674,300 BLOCK 15TH ST NW,Charlottesville Police,3-29-2017 11:10 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201710561,1500 BLOCK VIRGINIA AVE,Charlottesville Police,3-28-2017 2:40 PM
DRUG/NARCOTIC VIOLATION,201710268,500 BLOCK 14TH ST NW,Charlottesville Police,3-26-2017 1:56 AM
ASSAULT-SIMPLE,201710119,1300 BLOCK W MAIN ST,Charlottesville Police,3-25-2017 4:30 AM
ASSAULT-SIMPLE,201709860,500 BLOCK 14TH ST NW,Charlottesville Police,3-23-2017 10:50 PM
ASSAULT-SIMPLE,201709859,1000 BLOCK CHERRY AVE,Charlottesville Police,3-23-2017 2:10 PM
FRAUD-FRAUD BY IMPERSONATION,201709694,100 BLOCK MADISON LN,Charlottesville Police,3-22-2017 9:00 AM
LARCENY-ALL OTHER LARCENY,201709593,1300 BLOCK WERTLAND ST,Charlottesville Police,3-21-2017 11:15 AM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201709549,1200 BLOCK CHERRY AVE,Charlottesville Police,3-20-2017 11:50 PM
DRUG/NARCOTIC VIOLATION,201709481,800 BLOCK CHERRY AVE,Charlottesville Police,3-20-2017 12:00 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201709423,1600 BLOCK GRADY AVE,Charlottesville Police,3-19-2017 8:45 PM
ASSAULT-SIMPLE,201709396,400 BLOCK 10TH ST NW,Charlottesville Police,3-19-2017 3:20 PM
MOTOR VEHICLE THEFT/STOLEN AUTO,201709364,100 BLOCK 14TH ST NW,Charlottesville Police,3-19-2017 5:49 AM
DRUG/NARCOTIC VIOLATION,201709314,100 BLOCK CHANCELLOR ST,Charlottesville Police,3-19-2017 1:01 AM
ASSAULT-AGGRAVATED,201709096,800 BLOCK HARDY DR,Charlottesville Police,3-17-2017 6:15 PM
LARCENY-ALL OTHER LARCENY,201709106,800 BLOCK W MAIN ST,Charlottesville Police,3-17-2017 5:30 PM
BURGLARY/BREAKING AND ENTERING,201708704,800 BLOCK HARDY DR,Charlottesville Police,3-14-2017 5:29 PM
LARCENY-THEFT FROM BUILDING,201708699,700 BLOCK WALKER SQ,Charlottesville Police,3-14-2017 5:22 PM
ASSAULT-SIMPLE,201708652,800 BLOCK HARDY DR,Charlottesville Police,3-14-2017 3:49 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201708670,600 BLOCK BRANDON AVE,Charlottesville Police,3-14-2017 2:15 PM
LARCENY-ALL OTHER LARCENY,201708612,1100 BLOCK WERTLAND ST,Charlottesville Police,3-13-2017 7:45 PM
LARCENY-ALL OTHER LARCENY,201708607,100 BLOCK N BAKER ST,Charlottesville Police,3-13-2017 7:25 PM
BURGLARY/BREAKING AND ENTERING,201708602,1200 BLOCK JOHN ST,Charlottesville Police,3-13-2017 7:00 PM
DRIVE UNDER THE INFLUENCE,201708435,500 BLOCK 12TH ST NW,Charlottesville Police,3-12-2017 6:03 AM
DRIVE UNDER THE INFLUENCE,201708278,1000 BLOCK W MAIN ST,Charlottesville Police,3-11-2017 4:13 AM
DRUG/NARCOTIC VIOLATION,201708283,1000 BLOCK W MAIN ST,Charlottesville Police,3-11-2017 4:00 AM
MOTOR VEHICLE THEFT/STOLEN AUTO,201708109,1300 BLOCK JOHN ST,Charlottesville Police,3-9-2017 7:30 PM
ASSAULT-SIMPLE,201708042,1000 BLOCK W MAIN ST,Charlottesville Police,3-9-2017 1:41 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201707857,800 BLOCK W MAIN ST,Charlottesville Police,3-7-2017 5:57 PM
LARCENY-THEFT FROM MOTOR VEHICLE,201707858,200 BLOCK 14TH ST SW,Charlottesville Police,3-7-2017 5:21 PM
DRUG/NARCOTIC VIOLATION,201707739,800 BLOCK CHERRY AVE,Charlottesville Police,3-6-2017 6:15 PM
FRAUD-CREDIT CARD/ATM,201707711,300 BLOCK 15TH ST NW,Charlottesville Police,3-6-2017 3:00 PM
DRUG/NARCOTIC VIOLATION,201707587,300 BLOCK 10TH ST NW,Charlottesville Police,3-4-2017 10:45 PM
FRAUD-FALSE PRETENSES/SWINDLE/CONFIDENCE GAME,201707503,1200 BLOCK WERTLAND ST,Charlottesville Police,3-4-2017 5:23 AM
LARCENY-ALL OTHER LARCENY,201707402,1000 BLOCK CHERRY AVE,Charlottesville Police,3-3-2017 10:15 AM
LARCENY-ALL OTHER LARCENY,201707267,1300 BLOCK W MAIN ST,Charlottesville Police,3-2-2017 12:01 PM
DRUG/NARCOTIC VIOLATION,201707085,1300 BLOCK GORDON AVE,Charlottesville Police,3-1-2017 5:00 AM
DRUG/NARCOTIC VIOLATION,201707081,800 BLOCK HARDY DR,Charlottesville Police,2-28-2017 10:40 PM
LARCENY-ALL OTHER LARCENY,201707040,700 BLOCK WALKER SQ,Charlottesville Police,2-28-2017 3:22 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201706723,100 BLOCK 13TH ST NW,Charlottesville Police,2-26-2017 1:26 AM
ASSAULT-SIMPLE,201706713,1300 BLOCK W MAIN ST,Charlottesville Police,2-25-2017 10:34 PM
ASSAULT-SIMPLE,201706632,0 BLOCK ELLIEWOOD AVE,Charlottesville Police,2-25-2017 1:02 PM
VANDALISM/DAMAGE/DESTRUCTION OF PROPERTY,201706570,500 BLOCK RUGBY RD,Charlottesville Police,2-25-2017 12:07 AM
WEAPON LAW OFFENSES,201706532,1200 BLOCK LEE ST,Charlottesville Police,2-24-2017 10:04 PM
ASSAULT-SIMPLE,201706319,1000 BLOCK CHERRY AVE,Charlottesville Police,2-23-2017 2:05 PM
